vulnerability,capture_date,totalcount,exploit_source,exploit_type,exploit_platform,exploit_vendor,exploit_attack,vulnerable_cities,vulnerable_services,cvss_source,cvss3_basescore,cvss3_severity,cvss3_impactscore,cvss3_exploitabilityscore,cvss3_attackvector,cvss3_attackcomplexity,cvss3_privilegesrequired,cvss3_userinteraction,cvss3_scope,cvss3_confidentiality ,cvss3_integrity,cvss3_availability,cvss2_basescore,cvss2_severity,cvss2_impactscore,cvss2_exploitabilityscore,cvss2_attackvector,cvss2_attackcomplexity,cvss2_authentication,cvss2_confidentiality ,cvss2_integrity,cvss2_availability
CVE-2017-7890,10/22/2020,148622,NVD,"remote,webapps",PHP,php,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.5,MEDIUM,3.6,2.8,Network,Low,None,Required,Unchanged,High,None,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,Partial,None,None
CVE-2017-7963,10/22/2020,3116,NVD,"remote,dos,webapps",PHP,php,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Insufficient_info,None,None,None,Partial
CVE-2017-7983,10/22/2020,229,NVD,"remote,webapps",Joomla!,Joomla,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,Low,None,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-7984,10/22/2020,59,NVD,"remote,webapps",Joomla!,Joomla,Cross-Site Scripting,Amsterdam,"Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-7986,10/22/2020,229,NVD,"remote,webapps",Joomla!,Joomla,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-7987,10/22/2020,59,NVD,"remote,webapps",Joomla!,Joomla,Cross-Site Scripting,Amsterdam,"Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-7988,10/22/2020,167,NVD,"remote,webapps",Joomla!,Joomla,Overrides,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,None,Low,None,5,MEDIUM,2.9,10,Network,Low,None,None,Partial,None
CVE-2017-7989,10/22/2020,59,"NVD,SecurityFocus","remote,webapps",Joomla!,Joomla,Arbitrary File Upload,Amsterdam,"Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.5,MEDIUM,3.6,2.8,Network,Low,Low,None,Unchanged,None,High,None,4..0,MEDIUM,2.9,8,Network,Low,Single,None,Partial,None
CVE-2017-8057,10/22/2020,49,NVD,"remote,webapps",Joomla!,Joomla,Information Disclosure,Amsterdam,"Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.3,MEDIUM,1.4,3.9,Network,Low,None,None,Unchanged,Low,None,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-8295,10/22/2020,734,Shodan.io,"remote,webapps",Wordpress,Wordpress,Unauthorised Password Reset,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,None,High,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-9061,10/22/2020,734,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-9062,10/22/2020,734,NVD,"remote,webapps",Wordpress,Wordpress,Improper Handling,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.6,HIGH,4,3.9,Network,Low,None,None,Changed,None,High,None,5,MEDIUM,2.9,10,Network,Low,None,None,Partial,None
CVE-2017-9063,10/22/2020,734,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2017-9064,10/22/2020,734,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Request Forgery,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.8,HIGH,5.9,2.8,Network,Low,None,Required,Unchanged,High,High,High,6.8,MEDIUM,6.4,8.6,Network,Medium,None,Partial,Partial,Partial
CVE-2017-9065,10/22/2020,734,NVD,"remote,webapps",Wordpress,Wordpress,Improper Handling,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,High,None,5,MEDIUM,2.9,10,Network,Low,None,None,Partial,None
CVE-2017-9066,10/22/2020,734,NVD,"remote,webapps",Wordpress,Wordpress,Server-Side Request Forgery,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.6,HIGH,4,3.9,Network,Low,None,None,Changed,None,High,None,5.1,MEDIUM,2.9,10,Network,Low,None,None,Partial,None
CVE-2017-9067,10/22/2020,250206,NVD,remote,MODX,MODX,Arbitrary File Execution,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7,HIGH,5.9,1,Local,High,Low,None,Unchanged,High,High,High,4.4,MEDIUM,6.4,3.4,Local,Medium,N,Partial,Partial,Partial
CVE-2017-9118,10/22/2020,3806,NVD,"remote,webapps",PHP,php,Out of Bounds,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,None,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-9120,10/22/2020,192627,NVD,"remote,dos","PHP
",php,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,7.5,HIGH,6.4,10,Network,Low,None,Partial,Partial,Partial
CVE-2017-9788,10/22/2020,3681045,SecurityFocus,"remote,webapps",Apache HTTP Server,Apache,Memory Corruption,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.1,CRITICAL,5.2,3.9,Network,Low,None,None,Unchanged,High,None,High,6.4,MEDIUM,4.9,10,Network,Low,None,Partial,None,Partial
CVE-2017-9789,10/22/2020,11840,SecurityFocus,"remote,dos,webapps",Apache HTTP Server,Apache,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2017-9798,10/22/2020,3859662,Shodan.io,"remote,webapps",Apache HTTP Server,Apache,Memory Leak,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,High,None,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-9933,10/22/2020,159,NVD,"remote,webapps",Joomla!,Joomla,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,High,None,None,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2017-9934,10/22/2020,168,NVD,"remote,webapps",Joomla!,Joomla,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2018-0732 ,10/22/2020,838199,NVD,"remote,dos",OpenSSL,Openssl,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,High,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2018-0733 ,10/22/2020,9135,NVD,remote,OpenSSL,Openssl,Man-in-The-Middle,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,None,High,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,Partial,None,None
CVE-2018-0734 ,10/22/2020,899488,NVD,remote,OpenSSL,Openssl,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,High,None,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,Partial,None,None
CVE-2018-0735 ,10/22/2020,67203,NVD,remote,OpenSSL,Openssl,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,High,None,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,Partial,None,None
CVE-2018-0737 ,10/22/2020,837397,NVD,remote,OpenSSL,Openssl,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,High,None,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,Partial,None,None
CVE-2018-0739 ,10/22/2020,815544,NVD,"remote,dos",OpenSSL,Openssl,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.5,MEDIUM,3.6,2.8,Network,Low,None,Required,Unchanged,None,None,High,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,None,Partial
CVE-2018-1000024,10/22/2020,2440994,NVD,"remote,dos,webapps",Squid Software Foundation,Squid-cache,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,None,5,MEDIUM,2.9,10,Network,Insufficient_Info,None,None,None,Partial
CVE-2018-1000027,10/22/2020,2572854,NVD,"remote,dos,webapps",Squid Software Foundation,Squid-cache,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,None,5,MEDIUM,2.9,10,Network,Insufficient_Info,None,None,None,Partial
CVE-2018-1000773,10/22/2020,6409,NVD,"remote,webapps",Wordpress,Wordpress,Code Exeuction,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,High,High,High,6.5,MEDIUM,6.4,8,Network,Low,Single,Partial,Partial,Partial
CVE-2018-10100,10/22/2020,34162,NVD,"remote,webapps",Wordpress,Wordpress,Redirect,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,Low,5.8,MEDIUM,4.9,8.6,Network,Medium,None,Partial,Partial,None
CVE-2018-10101,10/22/2020,61736,NVD,"remote,webapps",Wordpress,Wordpress,"Redirect,Cross-Site Scripting","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,Low,5.8,MEDIUM,4.9,8.6,Network,Medium,None,Partial,Partial,None
CVE-2018-10102,10/22/2020,34164,NVD,"remote,webapps",Wordpress,Wordpress,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,Low,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2018-1053,10/22/2020,155089,Shodan.io,"remote,webapps",Wordpress,Wordpress,Cross Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7,HIGH,5.9,1,Local,High,Low,None,Unchanged,High,High,High,3.3,LOW,4.9,3.4,Local,Medium,None,Partial,Partial,None
CVE-2018-10545,10/22/2020,2935268,NVD,"remote,webapps",PHP,php,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,4.7,MEDIUM,3.6,1,Local,High,Low,None,Unchanged,High,High,None,1.9,LOW,2.9,3.4,Local,Medium,None,Partial,None,None
CVE-2018-10546,10/22/2020,2948992,NVD,"remote,dos,webapps",PHP,php,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,None,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2018-10547,10/22/2020,2948983,NVD,"remote,webapps",PHP,php,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.1,MEDIUM,2.7,2.8,Network,Low,None,Required,Changed,Low,Low,Low,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2018-10548,10/22/2020,2948990,NVD,"remote,dos,webapps",PHP,php,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,3.6,3.9,Network,Low,None,None,Unchanged,None,None,None,5,MEDIUM,2.9,10,Network,Low,None,None,None,Partial
CVE-2018-10549,10/22/2020,2948985,NVD,"remote,webapps",PHP,php,Out of Bounds,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.8,HIGH,5.9,2.8,Network,Low,None,Required,Unchanged,High,High,High,6.8,MEDIUM,6.4,8.6,Network,Medium,None,Partial,Partial,Partial
CVE-2018-1058,10/22/2020,318737,Shodan.io,dos,PostgreSQL,Postgresql,"SQL Injection,Off-by-One Heap Overflow","Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,High,High,High,6.5,MEDIUM,6.4,8,Network,Low,Single,Partial,Partial,Partial
CVE-2018-10915,10/22/2020,155088,NVD,"remote,local",PostgreSQL,Postgresql,Privilege Escalation,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,5.9,1.6,Network,High,Low,None,Unchanged,High,High,High,6,MEDIUM,6.4,6.8,Network,Medium,Single,Partial,Partial,Partial
CVE-2018-10925,10/22/2020,155090,NVD,remote,PostgreSQL,Postgresql,Arbitrary File Write,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.1,HIGH,5.2,2.8,Network,Low,Low,None,Unchanged,High,High,High,5.5,MEDIUM,4.9,8,Network,Low,Single,Partial,Partial,None
CVE-2018-1115,10/22/2020,364207,NVD,remote,PostgreSQL,Postgresql,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.1,CRITICAL,5.2,3.9,Network,Low,None,None,Unchanged,None,High,High,6.4,MEDIUM,4.9,10,Network,Insufficient_Info,None,None,Partial,Partial
CVE-2018-11321,10/22/2020,245,NVD,"remote,webapps",Joomla!,Joomla,Unauthorised Access,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,6.5,MEDIUM,3.6,2.8,Network,Low,Low,None,Unchanged,None,None,High,4,MEDIUM,2.9,8,Network,Low,Single,None,Partial,None
CVE-2018-11322,10/22/2020,245,NVD,"remote,webapps",Joomla!,Joomla,Arbitrary File Execution,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,7.5,HIGH,5.9,1.6,Network,High,Low,None,Unchanged,High,High,High,6,MEDIUM,6.4,6.8,Network,Medium,Single,Partial,Partial,Partial
CVE-2018-11323,10/22/2020,245,NVD,"remote,webapps",Joomla!,Joomla,Arbitrary File Write,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,8.8,HIGH,5.9,2.8,Network,Low,Low,None,Unchanged,High,High,High,6.5,MEDIUM,6.4,8,Network,Low,Single,Partial,Partial,Partial
CVE-2018-11324,10/22/2020,245,"NVD,SecurityFocus","remote,webapps",Joomla!,Joomla,Session Deletion Race Condition,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,None,None,High,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,Partial,None
CVE-2018-11325,10/22/2020,245,NVD,"remote,webapps",Joomla!,Joomla,Information Disclosure,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,9.8,CRITICAL,5.9,3.9,Network,Low,None,None,Unchanged,High,High,High,5,MEDIUM,2.9,10,Network,Low,None,Partial,None,None
CVE-2018-11326,10/22/2020,245,NVD,"remote,webapps",Joomla!,Joomla,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,4.8,MEDIUM,2.7,1.7,Network,Low,High,Required,Changed,Low,Low,Low,3.5,LOW,2.9,6.8,Network,Medium,Single,None,Partial,None
CVE-2018-11327,10/22/2020,245,NVD,"remote,webapps",Joomla!,Joomla,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,4.3,MEDIUM,1.4,2.8,Network,Low,Low,None,Unchanged,Low,Low,None,4,MEDIUM,2.9,8,Network,Low,Single,Partial,None,None
CVE-2018-11328,10/22/2020,245,NVD,"remote,webapps",Joomla!,Joomla,Cross-Site Scripting,"Tokyo,London,Dublin,Singapore,Amsterdam,Mumbai","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,4.7,MEDIUM,2.7,1.6,Network,High,None,Required,Changed,Low,Low,Low,2.6,LOW,2.9,4.9,Network,High,None,None,Partial,None
CVE-2018-1172,10/22/2020,86738,NVD,"remote,dos,webapps",Squid Software Foundation,Squid-cache,Denial of Service,"Tokyo,London,Dublin,Singapore,Amsterdam,Sydney,Chicago,Mumbai,Paris,Montreal","Apache,OpenSSH,PostgreSQL,nginx,lighttpd,Apache httpd,MongoDB,Squid http proxy,Microsoft IIS httpd,LiteSpeed httpd",NVD,5.9,MEDIUM,3.6,2.2,Network,High,None,None,Unchanged,None,None,None,4.3,MEDIUM,2.9,8.6,Network,Medium,None,None,None,Partial
